name,album,popularity,artist,genre,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
The Modern Things,Post,42,Björk,electronica,1995,0.257,0.388,10,-13.544,1,0.0555,0.238,0,0.261,0.357,66.974,audio_features,75VaR01CuZD1TOePotCu16,spotify:track:75VaR01CuZD1TOePotCu16,https://api.spotify.com/v1/tracks/75VaR01CuZD1TOePotCu16,https://api.spotify.com/v1/audio-analysis/75VaR01CuZD1TOePotCu16,250027,5
It's Oh So Quiet,Post,60,Björk,metropopolis,1995,0.461,0.129,3,-14.189,1,0.0565,0.652,0,0.07,0.246,129.19,audio_features,3CMVjlbvNJMHDfYPX7xCpi,spotify:track:3CMVjlbvNJMHDfYPX7xCpi,https://api.spotify.com/v1/tracks/3CMVjlbvNJMHDfYPX7xCpi,https://api.spotify.com/v1/audio-analysis/3CMVjlbvNJMHDfYPX7xCpi,218733,4
Enjoy,Post,46,Björk,experimental pop,1995,0.544,0.879,2,-10.72,1,0.0492,0.00169,0.759,0.129,0.461,84.207,audio_features,28GJnnbJ7fOKi2YBqlxWb9,spotify:track:28GJnnbJ7fOKi2YBqlxWb9,https://api.spotify.com/v1/tracks/28GJnnbJ7fOKi2YBqlxWb9,https://api.spotify.com/v1/audio-analysis/28GJnnbJ7fOKi2YBqlxWb9,237000,4
You've Been Flirting Again,Post,41,Björk,art pop,1995,0.17,0.0492,5,-21.058,1,0.0413,0.948,0.000365,0.121,0.181,106.279,audio_features,4RxIRjesqQtYOyRVAQ2NEZ,spotify:track:4RxIRjesqQtYOyRVAQ2NEZ,https://api.spotify.com/v1/tracks/4RxIRjesqQtYOyRVAQ2NEZ,https://api.spotify.com/v1/audio-analysis/4RxIRjesqQtYOyRVAQ2NEZ,149773,3
Isobel,Post,47,Björk,art pop,1995,0.593,0.565,9,-11.235,1,0.0298,0.000701,0.332,0.113,0.194,100.005,audio_features,1qyD5xpCI53VtITnxwB5Xn,spotify:track:1qyD5xpCI53VtITnxwB5Xn,https://api.spotify.com/v1/tracks/1qyD5xpCI53VtITnxwB5Xn,https://api.spotify.com/v1/audio-analysis/1qyD5xpCI53VtITnxwB5Xn,347027,4
Possibly Maybe,Post,48,Björk,electronica,1995,0.384,0.135,11,-17.176,1,0.0336,0.777,0.00223,0.206,0.179,57.139,audio_features,1F4JhiiFTGgga9tC5UuN5v,spotify:track:1F4JhiiFTGgga9tC5UuN5v,https://api.spotify.com/v1/tracks/1F4JhiiFTGgga9tC5UuN5v,https://api.spotify.com/v1/audio-analysis/1F4JhiiFTGgga9tC5UuN5v,306773,4
I Miss You,Post,44,Björk,permanent wave,1995,0.636,0.765,2,-10.658,0,0.0385,0.0237,0.462,0.0201,0.111,120.93,audio_features,5L18d6jJ94EYTu1FG1peY0,spotify:track:5L18d6jJ94EYTu1FG1peY0,https://api.spotify.com/v1/tracks/5L18d6jJ94EYTu1FG1peY0,https://api.spotify.com/v1/audio-analysis/5L18d6jJ94EYTu1FG1peY0,243800,4
Cover Me,Post,38,Björk,art pop,1995,0.349,0.296,4,-22.508,0,0.0431,0.938,0.677,0.632,0.292,86.588,audio_features,0eBrZ0Wld90mv6Eln69X42,spotify:track:0eBrZ0Wld90mv6Eln69X42,https://api.spotify.com/v1/tracks/0eBrZ0Wld90mv6Eln69X42,https://api.spotify.com/v1/audio-analysis/0eBrZ0Wld90mv6Eln69X42,126227,4
Headphones,Post,38,Björk,experimental pop,1995,0.497,0.0295,11,-28.88,0,0.0404,0.673,0.028,0.102,0.0777,170.216,audio_features,0tlJhVt7eaFvPn9zIwIBdO,spotify:track:0tlJhVt7eaFvPn9zIwIBdO,https://api.spotify.com/v1/tracks/0tlJhVt7eaFvPn9zIwIBdO,https://api.spotify.com/v1/audio-analysis/0tlJhVt7eaFvPn9zIwIBdO,340373,5
Hunter,Homogenic,51,Björk,experimental vocal,1997,0.323,0.667,7,-10.342,1,0.0895,0.145,0.0487,0.0867,0.183,79.579,audio_features,0zQnCy0NCcBmQcsl2PBNE3,spotify:track:0zQnCy0NCcBmQcsl2PBNE3,https://api.spotify.com/v1/tracks/0zQnCy0NCcBmQcsl2PBNE3,https://api.spotify.com/v1/audio-analysis/0zQnCy0NCcBmQcsl2PBNE3,255267,4
