name,album,popularity,artist,genre,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Vertebrae By Vertebrae,Volta,28,Björk,trip hop,2007,0.514,0.576,4,-9.289,0,0.0462,0.543,0.000246,0.43,0.137,106.236,audio_features,0LvcZJ4wL0IUPBPK9S0xT6,spotify:track:0LvcZJ4wL0IUPBPK9S0xT6,https://api.spotify.com/v1/tracks/0LvcZJ4wL0IUPBPK9S0xT6,https://api.spotify.com/v1/audio-analysis/0LvcZJ4wL0IUPBPK9S0xT6,308213,3
Pneumonia,Volta,27,Björk,icelandic singer-songwriter,2007,0.179,0.109,0,-15.341,1,0.0356,0.988,0.00139,0.397,0.0314,92.624,audio_features,7eFHUnFvAWit3hnE5UBsjd,spotify:track:7eFHUnFvAWit3hnE5UBsjd,https://api.spotify.com/v1/tracks/7eFHUnFvAWit3hnE5UBsjd,https://api.spotify.com/v1/audio-analysis/7eFHUnFvAWit3hnE5UBsjd,314147,3
Hope,Volta,26,Björk,icelandic experimental,2007,0.547,0.657,2,-11.717,1,0.103,0.15,0.129,0.369,0.205,193.803,audio_features,5GxBL1N5zTLbaaWZM8zdh2,spotify:track:5GxBL1N5zTLbaaWZM8zdh2,https://api.spotify.com/v1/tracks/5GxBL1N5zTLbaaWZM8zdh2,https://api.spotify.com/v1/audio-analysis/5GxBL1N5zTLbaaWZM8zdh2,242867,4
Declare Independence,Volta,35,Björk,electronica,2007,0.531,0.973,1,-5.356,1,0.173,0.152,0.032,0.174,0.0399,148.861,audio_features,7gy9d7iBHW9BWhMNPjHuFf,spotify:track:7gy9d7iBHW9BWhMNPjHuFf,https://api.spotify.com/v1/tracks/7gy9d7iBHW9BWhMNPjHuFf,https://api.spotify.com/v1/audio-analysis/7gy9d7iBHW9BWhMNPjHuFf,253453,4
My Juvenile,Volta,25,Björk,permanent wave,2007,0.364,0.179,9,-12.958,0,0.041,0.945,0,0.119,0.356,84.239,audio_features,1HiwgQ9FizW7nxU6S12FBL,spotify:track:1HiwgQ9FizW7nxU6S12FBL,https://api.spotify.com/v1/tracks/1HiwgQ9FizW7nxU6S12FBL,https://api.spotify.com/v1/audio-analysis/1HiwgQ9FizW7nxU6S12FBL,253547,4
Stonemilker,Vulnicura,43,Björk,icelandic pop,2015,0.133,0.257,2,-13.545,1,0.0317,0.12,0.00608,0.1,0.0501,82.163,audio_features,7mg5wIB2b6D5K5mOhALKxs,spotify:track:7mg5wIB2b6D5K5mOhALKxs,https://api.spotify.com/v1/tracks/7mg5wIB2b6D5K5mOhALKxs,https://api.spotify.com/v1/audio-analysis/7mg5wIB2b6D5K5mOhALKxs,409320,5
Lionsong,Vulnicura,38,Björk,icelandic experimental,2015,0.291,0.296,7,-13.292,0,0.0472,0.548,1.25e-06,0.173,0.0634,142.708,audio_features,2ZW9hbML7eNemHLsak7zjF,spotify:track:2ZW9hbML7eNemHLsak7zjF,https://api.spotify.com/v1/tracks/2ZW9hbML7eNemHLsak7zjF,https://api.spotify.com/v1/audio-analysis/2ZW9hbML7eNemHLsak7zjF,368693,4
History Of Touches,Vulnicura,38,Björk,electronica,2015,0.255,0.143,1,-15.36,1,0.031,0.797,0,0.18,0.136,165.406,audio_features,5VrL9zKmi3P2IwtnvP5yfU,spotify:track:5VrL9zKmi3P2IwtnvP5yfU,https://api.spotify.com/v1/tracks/5VrL9zKmi3P2IwtnvP5yfU,https://api.spotify.com/v1/audio-analysis/5VrL9zKmi3P2IwtnvP5yfU,180200,4
Black Lake,Vulnicura,36,Björk,icelandic experimental,2015,0.241,0.219,3,-15.15,0,0.0362,0.473,0.00081,0.0823,0.0364,135.914,audio_features,7McqTkJc3laznwCoQXKxFe,spotify:track:7McqTkJc3laznwCoQXKxFe,https://api.spotify.com/v1/tracks/7McqTkJc3laznwCoQXKxFe,https://api.spotify.com/v1/audio-analysis/7McqTkJc3laznwCoQXKxFe,608760,4
Family,Vulnicura,33,Björk,icelandic pop,2015,0.175,0.286,8,-13.01,0,0.0379,0.0892,0.000266,0.112,0.0391,78.215,audio_features,3dtvX7d6H6mcGMQoEE9jAP,spotify:track:3dtvX7d6H6mcGMQoEE9jAP,https://api.spotify.com/v1/tracks/3dtvX7d6H6mcGMQoEE9jAP,https://api.spotify.com/v1/audio-analysis/3dtvX7d6H6mcGMQoEE9jAP,482480,3
Notget,Vulnicura,34,Björk,electronica,2015,0.309,0.573,9,-12.629,0,0.36,0.0504,0.000729,0.088,0.218,178.769,audio_features,2rUOu6JSds2ewDskKCzVBj,spotify:track:2rUOu6JSds2ewDskKCzVBj,https://api.spotify.com/v1/tracks/2rUOu6JSds2ewDskKCzVBj,https://api.spotify.com/v1/audio-analysis/2rUOu6JSds2ewDskKCzVBj,386560,4
Atom Dance,Vulnicura,32,Björk,icelandic pop,2015,0.545,0.41,5,-10.062,1,0.0525,0.59,0.00169,0.362,0.355,136.0,audio_features,0gAtZWCCoj1j2NA45nKjYP,spotify:track:0gAtZWCCoj1j2NA45nKjYP,https://api.spotify.com/v1/tracks/0gAtZWCCoj1j2NA45nKjYP,https://api.spotify.com/v1/audio-analysis/0gAtZWCCoj1j2NA45nKjYP,490680,5
Mouth Mantra,Vulnicura,30,Björk,icelandic pop,2015,0.271,0.569,5,-8.174,0,0.0544,0.0598,0.00587,0.106,0.133,76.6,audio_features,40WNoYqz28qh5n7t1M3Jf3,spotify:track:40WNoYqz28qh5n7t1M3Jf3,https://api.spotify.com/v1/tracks/40WNoYqz28qh5n7t1M3Jf3,https://api.spotify.com/v1/audio-analysis/40WNoYqz28qh5n7t1M3Jf3,369533,4
Quicksand,Vulnicura,32,Björk,experimental pop,2015,0.604,0.787,2,-7.453,1,0.0444,0.00343,0.00118,0.0883,0.318,149.982,audio_features,1y36epywSYJG3IcaxXWI5b,spotify:track:1y36epywSYJG3IcaxXWI5b,https://api.spotify.com/v1/tracks/1y36epywSYJG3IcaxXWI5b,https://api.spotify.com/v1/audio-analysis/1y36epywSYJG3IcaxXWI5b,225240,3
Arisen My Senses,Utopia,37,Björk,permanent wave,2017,0.348,0.677,10,-7.379,0,0.0411,0.124,0,0.113,0.387,97.505,audio_features,3XhrizN1izPAf3vzKdmbH5,spotify:track:3XhrizN1izPAf3vzKdmbH5,https://api.spotify.com/v1/tracks/3XhrizN1izPAf3vzKdmbH5,https://api.spotify.com/v1/audio-analysis/3XhrizN1izPAf3vzKdmbH5,299960,4
Blissing Me,Utopia,39,Björk,experimental pop,2017,0.482,0.467,9,-9.372,0,0.0324,0.893,0.000118,0.24,0.287,105.836,audio_features,0QEwFjt0hX1aQqrJY20HCz,spotify:track:0QEwFjt0hX1aQqrJY20HCz,https://api.spotify.com/v1/tracks/0QEwFjt0hX1aQqrJY20HCz,https://api.spotify.com/v1/audio-analysis/0QEwFjt0hX1aQqrJY20HCz,305707,4
The Gate,Utopia,36,Björk,permanent wave,2017,0.271,0.241,2,-9.563,0,0.0341,0.732,0,0.137,0.0388,106.95,audio_features,7g2YQhm3jIxHnkMAeLjduf,spotify:track:7g2YQhm3jIxHnkMAeLjduf,https://api.spotify.com/v1/tracks/7g2YQhm3jIxHnkMAeLjduf,https://api.spotify.com/v1/audio-analysis/7g2YQhm3jIxHnkMAeLjduf,393573,3
Utopia,Utopia,35,Björk,trip hop,2017,0.347,0.464,9,-8.521,0,0.0354,0.927,4.76e-05,0.0974,0.19,78.216,audio_features,5gQR2YnZVOvvg4BgelxSjB,spotify:track:5gQR2YnZVOvvg4BgelxSjB,https://api.spotify.com/v1/tracks/5gQR2YnZVOvvg4BgelxSjB,https://api.spotify.com/v1/audio-analysis/5gQR2YnZVOvvg4BgelxSjB,282747,4
Body Memory,Utopia,33,Björk,trip hop,2017,0.21,0.516,6,-8.987,1,0.0673,0.831,0.000108,0.134,0.0583,78.653,audio_features,2Ql3mCjOnedeUMbbmS2zLq,spotify:track:2Ql3mCjOnedeUMbbmS2zLq,https://api.spotify.com/v1/tracks/2Ql3mCjOnedeUMbbmS2zLq,https://api.spotify.com/v1/audio-analysis/2Ql3mCjOnedeUMbbmS2zLq,586520,3
Features Creatures,Utopia,29,Björk,permanent wave,2017,0.349,0.0922,11,-13.702,0,0.0371,0.989,0.000257,0.0967,0.0384,74.283,audio_features,3uyy89YdPU9FFidcHzCvoq,spotify:track:3uyy89YdPU9FFidcHzCvoq,https://api.spotify.com/v1/tracks/3uyy89YdPU9FFidcHzCvoq,https://api.spotify.com/v1/audio-analysis/3uyy89YdPU9FFidcHzCvoq,289960,3
Courtship,Utopia,30,Björk,experimental vocal,2017,0.491,0.464,1,-8.401,0,0.122,0.794,0.000127,0.164,0.235,135.797,audio_features,7LcaS5Shsd8sVtDoxM9XcK,spotify:track:7LcaS5Shsd8sVtDoxM9XcK,https://api.spotify.com/v1/tracks/7LcaS5Shsd8sVtDoxM9XcK,https://api.spotify.com/v1/audio-analysis/7LcaS5Shsd8sVtDoxM9XcK,284640,4
Losss,Utopia,32,Björk,icelandic experimental,2017,0.326,0.739,1,-5.921,0,0.0772,0.394,3.29e-06,0.104,0.307,77.323,audio_features,0aExNHNXE2Y2JNG9WenvBi,spotify:track:0aExNHNXE2Y2JNG9WenvBi,https://api.spotify.com/v1/tracks/0aExNHNXE2Y2JNG9WenvBi,https://api.spotify.com/v1/audio-analysis/0aExNHNXE2Y2JNG9WenvBi,411467,4
Sue Me,Utopia,30,Björk,trip hop,2017,0.437,0.676,9,-7.179,0,0.0811,0.237,2.83e-06,0.0659,0.253,105.171,audio_features,3tgmTVV5gM5W1HCR2qIrbW,spotify:track:3tgmTVV5gM5W1HCR2qIrbW,https://api.spotify.com/v1/tracks/3tgmTVV5gM5W1HCR2qIrbW,https://api.spotify.com/v1/audio-analysis/3tgmTVV5gM5W1HCR2qIrbW,297840,4
Tabula Rasa,Utopia,31,Björk,art pop,2017,0.186,0.263,2,-10.099,0,0.0362,0.897,0.0215,0.22,0.0905,78.234,audio_features,2B2h6lG7aepB4Frywhiiae,spotify:track:2B2h6lG7aepB4Frywhiiae,https://api.spotify.com/v1/tracks/2B2h6lG7aepB4Frywhiiae,https://api.spotify.com/v1/audio-analysis/2B2h6lG7aepB4Frywhiiae,282013,5
Claimstaker,Utopia,28,Björk,experimental vocal,2017,0.322,0.186,6,-11.875,0,0.0412,0.967,0.00127,0.139,0.277,118.96,audio_features,35BJOG9EvdP850pT6GkCQY,spotify:track:35BJOG9EvdP850pT6GkCQY,https://api.spotify.com/v1/tracks/35BJOG9EvdP850pT6GkCQY,https://api.spotify.com/v1/audio-analysis/35BJOG9EvdP850pT6GkCQY,198813,4
Paradisia,Utopia,28,Björk,icelandic singer-songwriter,2017,0.344,0.19,9,-14.646,1,0.0379,0.909,0.858,0.488,0.242,90.048,audio_features,13S6Ggak5Xz8Z1f8HUslzv,spotify:track:13S6Ggak5Xz8Z1f8HUslzv,https://api.spotify.com/v1/tracks/13S6Ggak5Xz8Z1f8HUslzv,https://api.spotify.com/v1/audio-analysis/13S6Ggak5Xz8Z1f8HUslzv,104960,4
Saint,Utopia,29,Björk,art pop,2017,0.323,0.494,5,-9.088,1,0.0619,0.63,0.0055,0.23,0.34,119.785,audio_features,7E8GlU5yIQLvhIPfEFL4RO,spotify:track:7E8GlU5yIQLvhIPfEFL4RO,https://api.spotify.com/v1/tracks/7E8GlU5yIQLvhIPfEFL4RO,https://api.spotify.com/v1/audio-analysis/7E8GlU5yIQLvhIPfEFL4RO,281360,4
Future Forever,Utopia,29,Björk,permanent wave,2017,0.276,0.138,10,-12.624,1,0.0381,0.945,0.000424,0.105,0.208,142.829,audio_features,3jW7JssJi2hQnIMPhf1IKx,spotify:track:3jW7JssJi2hQnIMPhf1IKx,https://api.spotify.com/v1/tracks/3jW7JssJi2hQnIMPhf1IKx,https://api.spotify.com/v1/audio-analysis/3jW7JssJi2hQnIMPhf1IKx,287507,4
Atopos,Fossora,47,Björk,experimental pop,2022,0.585,0.897,7,-5.414,1,0.221,0.519,0.000253,0.125,0.304,175.829,audio_features,6CHhrFW3XkOy3UfZnLck2g,spotify:track:6CHhrFW3XkOy3UfZnLck2g,https://api.spotify.com/v1/tracks/6CHhrFW3XkOy3UfZnLck2g,https://api.spotify.com/v1/audio-analysis/6CHhrFW3XkOy3UfZnLck2g,286903,4
Ovule,Fossora,40,Björk,art pop,2022,0.408,0.446,5,-6.916,0,0.0378,0.58,0,0.336,0.261,127.717,audio_features,534d5ANGf0pWmCe0KNTD6F,spotify:track:534d5ANGf0pWmCe0KNTD6F,https://api.spotify.com/v1/tracks/534d5ANGf0pWmCe0KNTD6F,https://api.spotify.com/v1/audio-analysis/534d5ANGf0pWmCe0KNTD6F,218155,3
Mycelia,Fossora,40,Björk,icelandic singer-songwriter,2022,0.784,0.026,6,-14.87,0,0.0565,0.983,0.016,0.0962,0.333,141.989,audio_features,15hl5FGO5b5ChONsKTLvde,spotify:track:15hl5FGO5b5ChONsKTLvde,https://api.spotify.com/v1/tracks/15hl5FGO5b5ChONsKTLvde,https://api.spotify.com/v1/audio-analysis/15hl5FGO5b5ChONsKTLvde,120176,3
Sorrowful Soil,Fossora,38,Björk,permanent wave,2022,0.332,0.213,5,-10.955,0,0.0439,0.727,0,0.0934,0.222,77.343,audio_features,2ETLJnzi2cPo6RX3VgzRnl,spotify:track:2ETLJnzi2cPo6RX3VgzRnl,https://api.spotify.com/v1/tracks/2ETLJnzi2cPo6RX3VgzRnl,https://api.spotify.com/v1/audio-analysis/2ETLJnzi2cPo6RX3VgzRnl,195943,3
Ancestress,Fossora,39,Björk,icelandic pop,2022,0.298,0.38,2,-8.889,0,0.038,0.642,0,0.105,0.163,104.81,audio_features,08sEEy8n3kkCDBjZdYZ4GV,spotify:track:08sEEy8n3kkCDBjZdYZ4GV,https://api.spotify.com/v1/tracks/08sEEy8n3kkCDBjZdYZ4GV,https://api.spotify.com/v1/audio-analysis/08sEEy8n3kkCDBjZdYZ4GV,437914,3
Fagurt Er í Fjörðum,Fossora,36,Björk,permanent wave,2022,0.55,0.131,8,-12.364,0,0.0342,0.804,1.2e-06,0.121,0.292,48.285,audio_features,7sxmybK8Eo24k9uOWttqWS,spotify:track:7sxmybK8Eo24k9uOWttqWS,https://api.spotify.com/v1/tracks/7sxmybK8Eo24k9uOWttqWS,https://api.spotify.com/v1/audio-analysis/7sxmybK8Eo24k9uOWttqWS,44405,5
Victimhood,Fossora,34,Björk,trip hop,2022,0.455,0.443,10,-9.68,0,0.0372,0.324,0.0532,0.0972,0.0912,159.973,audio_features,2o98si2baNaCrV2CsbGd9o,spotify:track:2o98si2baNaCrV2CsbGd9o,https://api.spotify.com/v1/tracks/2o98si2baNaCrV2CsbGd9o,https://api.spotify.com/v1/audio-analysis/2o98si2baNaCrV2CsbGd9o,417362,4
Allow,Fossora,35,Björk,electronica,2022,0.396,0.384,10,-9.797,1,0.0403,0.707,0.0109,0.272,0.211,148.011,audio_features,1ujBb8hmsIWSzZQMSr5epC,spotify:track:1ujBb8hmsIWSzZQMSr5epC,https://api.spotify.com/v1/tracks/1ujBb8hmsIWSzZQMSr5epC,https://api.spotify.com/v1/audio-analysis/1ujBb8hmsIWSzZQMSr5epC,326676,4
Fungal City,Fossora,35,Björk,experimental pop,2022,0.498,0.621,10,-6.31,1,0.222,0.406,1.16e-06,0.216,0.56,160.048,audio_features,3ZaGoOdYAyPpKYEi69JvrJ,spotify:track:3ZaGoOdYAyPpKYEi69JvrJ,https://api.spotify.com/v1/tracks/3ZaGoOdYAyPpKYEi69JvrJ,https://api.spotify.com/v1/audio-analysis/3ZaGoOdYAyPpKYEi69JvrJ,285845,4
Trölla-Gabba,Fossora,32,Björk,experimental vocal,2022,0.201,0.589,8,-7.339,1,0.0646,0.0657,0.262,0.0791,0.0355,189.659,audio_features,7v9sM0H45T0xWAHt11dEHR,spotify:track:7v9sM0H45T0xWAHt11dEHR,https://api.spotify.com/v1/tracks/7v9sM0H45T0xWAHt11dEHR,https://api.spotify.com/v1/audio-analysis/7v9sM0H45T0xWAHt11dEHR,117835,4
Freefall,Fossora,33,Björk,experimental vocal,2022,0.403,0.341,5,-10.832,0,0.0385,0.627,0.000127,0.098,0.288,140.06,audio_features,7syXP4kV5MEVwX0kgZAw6A,spotify:track:7syXP4kV5MEVwX0kgZAw6A,https://api.spotify.com/v1/tracks/7syXP4kV5MEVwX0kgZAw6A,https://api.spotify.com/v1/audio-analysis/7syXP4kV5MEVwX0kgZAw6A,271078,4
Fossora,Fossora,41,Björk,icelandic pop,2022,0.613,0.619,10,-5.418,1,0.0312,0.00273,0.0151,0.0582,0.222,100.004,audio_features,6JjISShxjXOGx8C40pBtQJ,spotify:track:6JjISShxjXOGx8C40pBtQJ,https://api.spotify.com/v1/tracks/6JjISShxjXOGx8C40pBtQJ,https://api.spotify.com/v1/audio-analysis/6JjISShxjXOGx8C40pBtQJ,259064,4
Her Mother’s House,Fossora,34,Björk,trip hop,2022,0.162,0.157,10,-11.093,1,0.0319,0.946,0.00242,0.0975,0.109,85.531,audio_features,3dH62oPM9JZhu9WgXzzmnp,spotify:track:3dH62oPM9JZhu9WgXzzmnp,https://api.spotify.com/v1/tracks/3dH62oPM9JZhu9WgXzzmnp,https://api.spotify.com/v1/audio-analysis/3dH62oPM9JZhu9WgXzzmnp,273016,4
